Designator,Mid X,Mid Y,Rotation,Layer
R1,103.05,-59.12,0.0,top
R2,125.996,-95.825,270.0,top
R3,133.87,-84.54,270.0,top
R4,123.456,-96.986,270.0,top
R5,131.04,-92.575,270.0,top
R6,133.54,-92.575,270.0,top
U1,129.5575,-84.54,0.0,top
U3,125.54,-91.325,180.0,top
